id,title,amount,category,date,description,predicted_category,confidence_score,is_user_corrected,source
kaggle_1,Score each.,1485.69,Food,2020-01-02,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_2,Quality throughout.,1475.58,Utilities,2020-01-02,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_3,Instead ahead despite measure ago.,1185.08,Utilities,2020-01-04,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_5,Future choice whatever from.,1126.88,Food,2020-01-13,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_6,Benefit suggest page southern.,448.68,Shopping,2020-01-14,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_7,By two bad fall pick.,1520.03,Food,2020-01-18,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_9,Herself law.,1914.85,Entertainment,2020-01-21,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_10,Have decide environment.,766.06,Utilities,2020-01-25,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_11,Play move each left establish.,1211.41,Other,2020-01-25,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_12,Range successful simply.,1077.09,Other,2020-01-26,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_13,Source husband.,166.81,Shopping,2020-01-29,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_14,Tree note responsibility.,1158.93,Other,2020-01-30,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_15,How trip learn enter.,1325.91,Food,2020-01-31,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_16,Much section investment on gun.,1712.08,Utilities,2020-01-31,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_17,Management sense technology check civil.,563.17,Shopping,2020-01-31,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_18,As high you more wife.,333.68,Other,2020-02-02,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_19,Race mr.,1406.62,Transport,2020-02-04,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_20,Born itself law west.,1222.17,Utilities,2020-02-05,Original Category: Rent,,1.0,0,kaggle_dataset
kaggle_22,Current hear claim well two.,1979.15,Transport,2020-02-07,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_23,Food affect upon these story.,1372.38,Entertainment,2020-02-07,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_24,Around there water.,465.81,Food,2020-02-08,Original Category: Food & Drink,,1.0,0,kaggle_dataset
kaggle_26,Close month parent who up.,1827.14,Entertainment,2020-02-09,Original Category: Entertainment,,1.0,0,kaggle_dataset
kaggle_27,Human public health.,433.13,Other,2020-02-11,Original Category: Health & Fitness,,1.0,0,kaggle_dataset
kaggle_28,Building different full open.,294.31,Other,2020-02-13,Original Category: Salary,,1.0,0,kaggle_dataset
kaggle_30,Method everything.,730.37,Shopping,2020-02-16,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_31,Much rich think.,1023.96,Utilities,2020-02-16,Original Category: Utilities,,1.0,0,kaggle_dataset
kaggle_34,I fund.,769.42,Shopping,2020-02-20,Original Category: Shopping,,1.0,0,kaggle_dataset
kaggle_35,Court movie cell.,1942.45,Transport,2020-02-26,Original Category: Travel,,1.0,0,kaggle_dataset
kaggle_36,Leg themselves away.,1363.76,Food,2020-02-27,Original Category: Food & Drink,,1.0,0,kaggle_dataset
